awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
Patriot,166.0,65,Loyola Maryland,152,18804,ASUN,-200.0,70,Lipscomb,143,143.5,,consensus,2022,regular,4.5,,2021-11-14T15:30:00.000Z,0.0,2.0,Lipscomb,Loyola Maryland,143,152,True,2021-11-14T15:30:00.000Z,medium,moneyline_conflict,
ACC,-3535.0,79,NC State,185,18955,NEC,1388.0,65,Central Connecticut,44,143.0,,consensus,2022,regular,-26.5,,2021-11-17T01:00:00.000Z,-2.0,2.0,Central Connecticut,NC State,44,185,True,2021-11-17T01:00:00.000Z,high,strong_moneyline_conflict,
Big 12,-186.0,74,Oklahoma State,218,18998,ACC,155.0,68,NC State,185,137.5,,consensus,2022,regular,-4.5,,2021-11-18T01:00:00.000Z,-2.0,2.0,NC State,Oklahoma State,185,218,True,2021-11-18T01:00:00.000Z,medium,moneyline_conflict,
A-10,-186.0,67,St. Bonaventure,277,19018,Mountain West,154.0,61,Boise State,25,131.5,,consensus,2022,regular,-3.5,,2021-11-18T19:00:00.000Z,0.0,2.0,Boise State,St. Bonaventure,25,277,True,2021-11-18T19:00:00.000Z,medium,moneyline_conflict,
ACC,-232.0,75,Clemson,52,19021,American,188.0,48,Temple,289,133.5,,consensus,2022,regular,-6.0,,2021-11-18T21:30:00.000Z,0.0,2.0,Temple,Clemson,289,52,True,2021-11-18T21:30:00.000Z,medium,moneyline_conflict,
Big 12,-780.0,79,Oklahoma,217,19040,American,527.0,74,East Carolina,74,137.0,,consensus,2022,regular,-12.5,,2021-11-19T00:00:00.000Z,0.0,2.0,East Carolina,Oklahoma,74,217,True,2021-11-19T00:00:00.000Z,high,strong_moneyline_conflict,
MVC,178.0,77,Indiana State,122,19061,CUSA,-222.0,36,Old Dominion,219,136.5,,consensus,2022,regular,5.0,,2021-11-19T02:30:00.000Z,0.0,2.0,Old Dominion,Indiana State,219,122,True,2021-11-19T02:30:00.000Z,medium,moneyline_conflict,
SoCon,155.0,90,UNC Greensboro,320,19081,A-10,-185.0,93,Massachusetts,161,131.5,,consensus,2022,regular,4.0,,2021-11-19T20:00:00.000Z,0.0,2.0,Massachusetts,UNC Greensboro,161,320,True,2021-11-19T20:00:00.000Z,medium,moneyline_conflict,
Sun Belt,-208.0,72,Troy,302,19082,Summit,171.0,74,North Dakota,201,135.5,,consensus,2022,regular,-4.5,,2021-11-19T20:00:00.000Z,0.0,2.0,North Dakota,Troy,201,302,True,2021-11-19T20:00:00.000Z,medium,moneyline_conflict,
CUSA,-212.0,63,Florida International,89,19119,Horizon,173.0,60,Green Bay,105,133.5,,consensus,2022,regular,-5.5,,2021-11-20T01:00:00.000Z,-2.0,2.0,Green Bay,Florida International,105,89,True,2021-11-20T01:00:00.000Z,medium,moneyline_conflict,
