season,group,family,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
2020,raw_only,core_strategy,feb15_plus,191,82,109,0,0.4293193717277487,-0.18039029033793427,0.9963985437836997,0.1228270219233395,0.5284785999985887,1.6678481416379172,0.020942408376963352,0.4083769633507853,0.11518324607329843
2020,raw_only,core_strategy,march_only,64,24,40,0,0.375,-0.28409090909090906,0.9940607540290162,0.12040224809010586,0.5372973501175353,1.368517943622108,0.0,0.375,0.328125
2020,raw_only,core_strategy,conference_tournaments,26,11,15,0,0.4230769230769231,-0.19230769230769226,0.8897182519010625,0.12171988303347367,0.5437187142772245,1.042916899709317,0.0,0.34615384615384615,0.8076923076923077
2020,raw_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2022,raw_only,core_strategy,full,1069,556,513,0,0.520112254443405,-0.007058423335317624,0.6076093217914346,0.12880901231791117,0.5227789486759719,2.0326995373193792,0.07202993451824134,0.3292797006548176,0.07670720299345182
2022,raw_only,core_strategy,feb15_plus,190,94,96,0,0.49473684210526314,-0.05550239234449762,0.8092672904275399,0.11819058760262066,0.5286554325572445,1.790685767746255,0.021052631578947368,0.45789473684210524,0.14210526315789473
2022,raw_only,core_strategy,march_only,75,40,35,0,0.5333333333333333,0.01818181818181817,0.4809992457213537,0.11458446911324868,0.5257811012947161,1.6301020764040637,0.013333333333333334,0.5333333333333333,0.36
2022,raw_only,core_strategy,conference_tournaments,28,13,15,0,0.4642857142857143,-0.11363636363636363,0.7938810599666802,0.11378379151779398,0.5385657887592652,1.4394953817717508,0.0,0.5357142857142857,0.8928571428571429
2022,raw_only,core_strategy,ncaa_tournament,0,0,0,0,,,,,,,,,
2023,raw_only,core_strategy,full,1154,611,543,0,0.5294627383015598,0.010792500393886878,0.361437169472957,0.1243519121697099,0.5193593390840301,1.9216381773187627,0.060658578856152515,0.4098786828422877,0.1386481802426343
2023,raw_only,core_strategy,feb15_plus,226,115,111,0,0.5088495575221239,-0.028559935639581653,0.6976091177841506,0.1187072395631657,0.5294480621490565,1.7473722178151119,0.01327433628318584,0.5353982300884956,0.2831858407079646
2023,raw_only,core_strategy,march_only,97,54,43,0,0.5567010309278351,0.06279287722586695,0.29270560987432637,0.11278195560624325,0.5349359561088395,1.5579399318477225,0.010309278350515464,0.4948453608247423,0.6597938144329897
2023,raw_only,core_strategy,conference_tournaments,52,31,21,0,0.5961538461538461,0.13811188811188807,0.18272961134543989,0.10901234156753475,0.5340607516779957,1.6167733074939075,0.0,0.5,0.8846153846153846
2023,raw_only,core_strategy,ncaa_tournament,11,7,4,0,0.6363636363636364,0.21487603305785122,0.3305494077209933,0.11495132424026856,0.5531703499496583,1.1524001841794982,0.0,0.5454545454545454,1.0
2024,raw_only,core_strategy,full,1157,580,577,0,0.5012964563526361,-0.04297949241769467,0.9408809717283765,0.125807453289357,0.5155593386858015,1.9872071554944017,0.0665514261019879,0.26534140017286084,0.12791702679343128
2024,raw_only,core_strategy,feb15_plus,307,142,165,0,0.46254071661237783,-0.116967722830915,0.9862876094881301,0.12290504341489106,0.5103641612222911,1.751860019579523,0.009771986970684038,0.36156351791530944,0.24429967426710097
2024,raw_only,core_strategy,march_only,167,71,96,0,0.4251497005988024,-0.18835057158410454,0.9957407778937861,0.12069984085823421,0.5103827872922047,1.7445925958674384,0.011976047904191617,0.3592814371257485,0.4491017964071856
2024,raw_only,core_strategy,conference_tournaments,66,30,36,0,0.45454545454545453,-0.1322314049586777,0.8942927028733147,0.11997810388113525,0.5108583017124124,1.593897748770315,0.0,0.4393939393939394,0.8636363636363636
2024,raw_only,core_strategy,ncaa_tournament,18,4,14,0,0.2222222222222222,-0.5757575757575757,0.9979520283141106,0.12808968476450053,0.5130190451868404,2.150676951805831,0.1111111111111111,0.16666666666666666,1.0
2025,raw_only,core_strategy,full,1441,681,760,0,0.472588480222068,-0.09778562866696107,0.9999551321072897,0.13658522445739485,0.5044005510424093,2.1517508868952313,0.0527411519777932,0.3018736988202637,0.12491325468424705
2025,raw_only,core_strategy,feb15_plus,426,212,214,0,0.49765258215962443,-0.049935979513444306,0.8706201004170475,0.13806913511520108,0.49694151828158856,2.057345670088623,0.018779342723004695,0.3873239436619718,0.22300469483568075
2025,raw_only,core_strategy,march_only,212,105,107,0,0.49528301886792453,-0.054459691252144074,0.816085161676191,0.14108671414989885,0.499170471629478,2.0212531996730854,0.018867924528301886,0.41037735849056606,0.4481132075471698
2025,raw_only,core_strategy,conference_tournaments,74,40,34,0,0.5405405405405406,0.03194103194103195,0.4325827852490055,0.12951244865614753,0.5047122905207587,1.738054807602626,0.0,0.4189189189189189,0.9324324324324325
2025,raw_only,core_strategy,ncaa_tournament,26,12,14,0,0.46153846153846156,-0.11888111888111887,0.7973374832823464,0.14647574553583903,0.5000566055325151,2.8101077752979284,0.038461538461538464,0.5384615384615384,1.0
2022,ncaa_caution,core_strategy,full,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.059388373957889824,0.653564779231658,2.964460370214371,0.0,0.32,1.0
2022,ncaa_caution,core_strategy,feb15_plus,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.059388373957889824,0.653564779231658,2.964460370214371,0.0,0.32,1.0
2022,ncaa_caution,core_strategy,march_only,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.059388373957889824,0.653564779231658,2.964460370214371,0.0,0.32,1.0
2022,ncaa_caution,core_strategy,conference_tournaments,0,0,0,0,,,,,,,,,
2022,ncaa_caution,core_strategy,ncaa_tournament,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.059388373957889824,0.653564779231658,2.964460370214371,0.0,0.32,1.0
2023,ncaa_caution,core_strategy,full,21,10,11,0,0.47619047619047616,-0.0909090909090909,0.7440204837278256,0.09066032784273997,0.6115135317189974,4.348523299364492,0.0,0.047619047619047616,1.0
2023,ncaa_caution,core_strategy,feb15_plus,21,10,11,0,0.47619047619047616,-0.0909090909090909,0.7440204837278256,0.09066032784273997,0.6115135317189974,4.348523299364492,0.0,0.047619047619047616,1.0
2023,ncaa_caution,core_strategy,march_only,21,10,11,0,0.47619047619047616,-0.0909090909090909,0.7440204837278256,0.09066032784273997,0.6115135317189974,4.348523299364492,0.0,0.047619047619047616,1.0
2023,ncaa_caution,core_strategy,conference_tournaments,0,0,0,0,,,,,,,,,
2023,ncaa_caution,core_strategy,ncaa_tournament,21,10,11,0,0.47619047619047616,-0.0909090909090909,0.7440204837278256,0.09066032784273997,0.6115135317189974,4.348523299364492,0.0,0.047619047619047616,1.0
2024,ncaa_caution,core_strategy,full,8,3,5,0,0.375,-0.28409090909090906,0.8845142838538553,0.09148897724798165,0.5923632613824757,5.177134145358009,0.0,0.625,1.0
2024,ncaa_caution,core_strategy,feb15_plus,8,3,5,0,0.375,-0.28409090909090906,0.8845142838538553,0.09148897724798165,0.5923632613824757,5.177134145358009,0.0,0.625,1.0
