group,family,slice,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
disagreement_led,disagreement_subgroup,conference_tournaments,55,38,17,0,0.6909090909090909,0.31900826446280994,0.008816021065145192,0.035987000697324426,0.6125566263500892,3.816662292773881,0.18181818181818182,0.45454545454545453,0.9090909090909091
disagreement_led,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
raw_edge_led,disagreement_subgroup,full,1609,969,640,0,0.6022374145431946,0.14972597321882594,1.4680725631230054e-10,0.16059221729331521,0.6150552599866361,5.703127012246864,0.07582349285270354,0.4064636420136731,0.15910503418272218
raw_edge_led,disagreement_subgroup,feb15_plus,164,93,71,0,0.5670731707317073,0.08259423503325942,0.15120428708560024,0.1382783283973375,0.5994147882401013,4.1664577867852115,0.036585365853658534,0.40853658536585363,0.2804878048780488
raw_edge_led,disagreement_subgroup,march_only,70,40,30,0,0.5714285714285714,0.09090909090909091,0.24933816311533766,0.13759336770641376,0.6069721039275813,3.588832056900188,0.08571428571428572,0.38571428571428573,0.6571428571428571
raw_edge_led,disagreement_subgroup,conference_tournaments,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.132769835488858,0.6130166805786039,3.468606678194719,0.12,0.44,0.92
raw_edge_led,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
persistent_disagreement,disagreement_subgroup,full,1178,677,501,0,0.5747028862478778,0.09716005556413028,0.0002542903289533169,0.09901468028120769,0.6096680147307891,6.416833879775489,0.0,1.0,0.16723259762308998
persistent_disagreement,disagreement_subgroup,feb15_plus,146,87,59,0,0.5958904109589042,0.13760896637608963,0.04794992409383104,0.08119004335895512,0.5944628785496245,5.0168412975187096,0.0,1.0,0.2876712328767123
persistent_disagreement,disagreement_subgroup,march_only,70,38,32,0,0.5428571428571428,0.036363636363636355,0.4217724088545652,0.07955622545380277,0.5944285438073215,4.50893262182707,0.0,1.0,0.6
persistent_disagreement,disagreement_subgroup,conference_tournaments,47,25,22,0,0.5319148936170213,0.015473887814313345,0.5147745086165054,0.08890001793850018,0.5954861870856495,3.9902438078270746,0.0,1.0,0.8936170212765957
persistent_disagreement,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
new_transient_disagreement,disagreement_subgroup,full,199,139,60,0,0.6984924623115578,0.33348560986751935,3.927178322733563e-07,0.12393169894143212,0.6392896799885831,7.954152818738093,1.0,0.0,0.1507537688442211
new_transient_disagreement,disagreement_subgroup,feb15_plus,16,10,6,0,0.625,0.19318181818181815,0.2894334675775315,0.05212366264137967,0.709490507469671,1.451139035729759,1.0,0.0,0.875
new_transient_disagreement,disagreement_subgroup,march_only,16,10,6,0,0.625,0.19318181818181815,0.2894334675775315,0.05212366264137967,0.709490507469671,1.451139035729759,1.0,0.0,0.875
new_transient_disagreement,disagreement_subgroup,conference_tournaments,16,10,6,0,0.625,0.19318181818181815,0.2894334675775315,0.05212366264137967,0.709490507469671,1.451139035729759,1.0,0.0,0.875
new_transient_disagreement,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
high_disagreement_ge_6,disagreement_subgroup,full,1231,752,479,0,0.6108854589764419,0.16623587622775274,4.667568921569971e-10,0.09433058227330303,0.6273333485201056,8.02279280495222,0.11941510966693746,0.5060926076360682,0.14703493095044678
high_disagreement_ge_6,disagreement_subgroup,feb15_plus,52,29,23,0,0.5576923076923077,0.06468531468531467,0.3639485420778456,0.061143473262758895,0.6014637386954169,6.860506583889901,0.0,0.6538461538461539,0.15384615384615385
high_disagreement_ge_6,disagreement_subgroup,march_only,17,9,8,0,0.5294117647058824,0.010695187165775399,0.5790090239051432,0.04508555169237346,0.6052187390016099,6.958390157510978,0.0,0.6470588235294118,0.47058823529411764
high_disagreement_ge_6,disagreement_subgroup,conference_tournaments,8,4,4,0,0.5,-0.04545454545454547,0.6874482733531904,0.04033151569573459,0.6083846183819048,7.093867864361528,0.0,0.5,1.0
high_disagreement_ge_6,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
medium_disagreement_4_to_6,disagreement_subgroup,full,1126,655,471,0,0.5817051509769094,0.1105280155013725,5.425898333538268e-05,0.09887391498890366,0.5965034737987207,5.044747979383091,0.022202486678507993,0.40763765541740676,0.14209591474245115
medium_disagreement_4_to_6,disagreement_subgroup,feb15_plus,147,90,57,0,0.6122448979591837,0.16883116883116883,0.019107678317379806,0.08703657115652504,0.5959172911295587,4.8841193591135985,0.0,0.5238095238095238,0.21768707482993196
medium_disagreement_4_to_6,disagreement_subgroup,march_only,63,38,25,0,0.6031746031746031,0.15151515151515146,0.12794132975795722,0.08071105318878422,0.5969682260773199,4.815645056250229,0.0,0.5079365079365079,0.5079365079365079
medium_disagreement_4_to_6,disagreement_subgroup,conference_tournaments,35,21,14,0,0.6,0.14545454545454542,0.2323457044123911,0.09354582261537815,0.6003755875124519,4.74476157908319,0.0,0.45714285714285713,0.9142857142857143
medium_disagreement_4_to_6,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
low_disagreement_lt_4,disagreement_subgroup,full,441,262,179,0,0.5941043083900227,0.1341991341991342,0.0017618552223603889,0.16422270633380712,0.6011782742126179,2.7222433765114404,0.061224489795918366,0.21768707482993196,0.28798185941043086
low_disagreement_lt_4,disagreement_subgroup,feb15_plus,136,72,64,0,0.5294117647058824,0.010695187165775404,0.4826215727670467,0.09391465542613521,0.6023924930933846,2.890202364154246,0.11764705882352941,0.25735294117647056,0.41911764705882354
low_disagreement_lt_4,disagreement_subgroup,march_only,76,46,30,0,0.6052631578947368,0.15550239234449756,0.09521863739859611,0.08992749304477153,0.613795458908932,2.6809802508442337,0.21052631578947367,0.35526315789473684,0.75
low_disagreement_lt_4,disagreement_subgroup,conference_tournaments,62,40,22,0,0.6451612903225806,0.23167155425219935,0.03624756877644819,0.08098420799502634,0.6203423543257103,2.589180029507992,0.25806451612903225,0.43548387096774194,0.9032258064516129
low_disagreement_lt_4,disagreement_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
neutral_internal_filter,context_subgroup,full,468,311,157,0,0.6645299145299145,0.2686480186480186,4.791613024600374e-10,0.1114932062858469,0.6204247176384832,5.674691470983086,0.0641025641025641,0.42094017094017094,1.0
neutral_internal_filter,context_subgroup,feb15_plus,97,61,36,0,0.6288659793814433,0.2005623242736645,0.0238626759431982,0.08192543353797908,0.6131583952791361,3.6976661579170713,0.14432989690721648,0.4329896907216495,1.0
neutral_internal_filter,context_subgroup,march_only,97,61,36,0,0.6288659793814433,0.2005623242736645,0.0238626759431982,0.08192543353797908,0.6131583952791361,3.6976661579170713,0.14432989690721648,0.4329896907216495,1.0
neutral_internal_filter,context_subgroup,conference_tournaments,96,61,35,0,0.6354166666666666,0.2130681818181818,0.017901350150679753,0.08248654880899768,0.6134792716996008,3.7075550062882066,0.14583333333333334,0.4375,1.0
neutral_internal_filter,context_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
non_neutral_internal_filter,context_subgroup,full,2330,1358,972,0,0.582832618025751,0.11268045259461566,5.967308892995601e-09,0.10630745408041808,0.6088717230036754,6.05201626107425,0.07253218884120172,0.4210300429184549,0.0
non_neutral_internal_filter,context_subgroup,feb15_plus,238,130,108,0,0.5462184873949579,0.04278074866310158,0.2654780424856017,0.08739270022875235,0.5938023988522307,4.660108371256283,0.008403361344537815,0.4369747899159664,0.0
non_neutral_internal_filter,context_subgroup,march_only,59,32,27,0,0.5423728813559322,0.03543913713405238,0.43923537887731373,0.08032157877766812,0.594403514252562,4.521341575722999,0.03389830508474576,0.4745762711864407,0.0
non_neutral_internal_filter,context_subgroup,conference_tournaments,9,4,5,0,0.4444444444444444,-0.1515151515151515,0.7906733264725863,0.07767423634799639,0.6052709327803792,3.046831045403502,0.2222222222222222,0.5555555555555556,0.0
non_neutral_internal_filter,context_subgroup,ncaa_tournament,0,0,0,0,,,,,,,,,
