group,slice,season_count_with_bets,profitable_seasons,losing_seasons,breakeven_or_better_seasons,median_season_roi,mean_season_roi,season_roi_std,min_season_roi,max_season_roi,median_season_hit_rate,median_bets_per_season
raw_edge_baseline,ncaa_tournament,4,1,3,1,-0.17329545454545456,-0.20841380704275964,0.23086725235475666,-0.5661157024793388,0.07905138339920947,0.4330357142857143,22.5
raw_edge_led,conference_tournaments,5,3,2,3,0.19318181818181815,-0.013636363636363646,0.2872461149928966,-0.3636363636363636,0.2727272727272727,0.625,8.0
raw_edge_led,feb15_plus,5,4,1,4,0.04132231404958676,0.0520694813208182,0.10180213216706756,-0.10160427807486633,0.21153846153846148,0.5454545454545454,28.0
raw_edge_led,full,5,5,0,5,0.14817211258492397,0.1478552005889152,0.043587107803279956,0.07431731766332528,0.20909090909090908,0.6014234875444839,281.0
raw_edge_led,march_only,5,2,3,2,-0.04545454545454545,0.008357849047504206,0.2460992370407674,-0.26573426573426573,0.31661442006269586,0.5,13.0
raw_edge_led,ncaa_tournament,0,0,0,0,,,,,,,
raw_only,conference_tournaments,5,2,3,2,-0.11363636363636363,-0.05362450816996271,0.12091137241425097,-0.19230769230769226,0.13811188811188807,0.4642857142857143,52.0
raw_only,feb15_plus,5,0,5,0,-0.05550239234449762,-0.08627126413327457,0.05549457178203029,-0.18039029033793427,-0.028559935639581653,0.49473684210526314,226.0
raw_only,full,5,1,4,1,-0.012090211578702619,-0.029824251120957823,0.03814265011347823,-0.09778562866696107,0.010792500393886878,0.5174765558397272,1157.0
raw_only,march_only,5,2,3,2,-0.054459691252144074,-0.0891852953038945,0.12934672772507394,-0.28409090909090906,0.06279287722586695,0.49528301886792453,97.0
raw_only,ncaa_tournament,3,1,2,1,-0.11888111888111887,-0.15992088719361444,0.32407671189034226,-0.5757575757575757,0.21487603305785122,0.46153846153846156,18.0
