option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
hgbr_residual_log_affine,2022,edge,"[0.08, 0.1)",170,0.6128337277129258,0.5421686746987951,0.03422459893048129
hgbr_residual_log_affine,2022,edge,"[0.1, 0.15)",184,0.6446225317669638,0.5698324022346368,0.08547430830039525
hgbr_residual_log_affine,2022,edge,"[0.15, 1.0)",176,0.7509212108922213,0.6571428571428571,0.25309917355371897
raw_mlp_sigma,2023,probability,"[0.5, 0.55)",2349,0.5242577811446009,0.502129471890971,-0.04137157010720229
raw_mlp_sigma,2023,probability,"[0.55, 0.6)",1645,0.5726611693841954,0.5036496350364964,-0.038463663995578885
raw_mlp_sigma,2023,probability,"[0.6, 0.65)",949,0.6215538465627238,0.48472075869336145,-0.07462400613085543
raw_mlp_sigma,2023,probability,"[0.65, 0.7)",442,0.6720084561611817,0.583710407239819,0.11435623200329083
raw_mlp_sigma,2023,probability,"[0.7, 0.75)",192,0.720341090221325,0.5235602094240838,-0.0004734848484848388
raw_mlp_sigma,2023,probability,"[0.75, 0.8)",90,0.7740078958185762,0.5444444444444444,0.03939393939393941
raw_mlp_sigma,2023,probability,"[0.8, 0.85)",51,0.8249605097153377,0.6078431372549019,0.160427807486631
raw_mlp_sigma,2023,probability,"[0.85, 1.01)",55,0.8963084840787969,0.7454545454545455,0.4231404958677686
raw_mlp_sigma,2023,edge,"[0.0, 0.02)",942,0.5335983614628657,0.5095541401273885,-0.027214823393167335
raw_mlp_sigma,2023,edge,"[0.02, 0.04)",806,0.5538351883163066,0.49627791563275436,-0.05256034288292352
raw_mlp_sigma,2023,edge,"[0.04, 0.06)",656,0.5734331271120202,0.5304878048780488,0.012749445676274954
raw_mlp_sigma,2023,edge,"[0.06, 0.08)",539,0.5937129850462141,0.483271375464684,-0.07724742789677853
raw_mlp_sigma,2023,edge,"[0.08, 0.1)",439,0.6131895431770613,0.510250569476082,-0.025885276454752536
raw_mlp_sigma,2023,edge,"[0.1, 0.15)",654,0.6455400098112619,0.4892966360856269,-0.06588824020016679
raw_mlp_sigma,2023,edge,"[0.15, 1.0)",580,0.7432010533129163,0.5941278065630398,0.13401253918495296
best_posthoc_sigma,2023,probability,"[0.5, 0.55)",2712,0.5240303646082234,0.4983400959055699,-0.04860552426924107
best_posthoc_sigma,2023,probability,"[0.55, 0.6)",1695,0.5726569271317861,0.5106257378984652,-0.02515419683561276
best_posthoc_sigma,2023,probability,"[0.6, 0.65)",757,0.621013059448551,0.4966974900924703,-0.051759337096193105
best_posthoc_sigma,2023,probability,"[0.65, 0.7)",331,0.6708953679727941,0.5619335347432024,0.07278220269156827
best_posthoc_sigma,2023,probability,"[0.7, 0.75)",119,0.7212360429668387,0.5462184873949579,0.04278074866310161
best_posthoc_sigma,2023,probability,"[0.75, 0.8)",77,0.7712790470651834,0.618421052631579,0.17827626918536005
best_posthoc_sigma,2023,probability,"[0.8, 0.85)",37,0.8229083943678542,0.5675675675675675,0.08353808353808354
best_posthoc_sigma,2023,probability,"[0.85, 1.01)",45,0.9072054619309183,0.7777777777777778,0.4848484848484849
best_posthoc_sigma,2023,edge,"[0.0, 0.02)",1024,0.5335694108840966,0.509286412512219,-0.02769886363636362
best_posthoc_sigma,2023,edge,"[0.02, 0.04)",889,0.553401753964678,0.5016872890888638,-0.04223335719398712
best_posthoc_sigma,2023,edge,"[0.04, 0.06)",666,0.5737358859790067,0.509009009009009,-0.028255528255528253
best_posthoc_sigma,2023,edge,"[0.06, 0.08)",531,0.5933872998897688,0.5018867924528302,-0.04177366889231296
