awayConference,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeScore,homeTeam_x,homeTeamId_x,season,seasonType,startDate_x,source_key,source_asof,provider,spread,overUnder,homeMoneyline,awayMoneyline,spreadOpen,overUnderOpen,startDate_y,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,spread_sign_for_votes,action,confidence,repair_reason,majority_sign_sum,peer_same_sign_count,peer_opposite_sign_count,non_consensus_same_sign_count,non_consensus_opposite_sign_count,original_spread,repaired_spread,original_spreadOpen,repaired_spreadOpen
Big 12,69.0,Oklahoma State,218,215016,Big 12,83.0,Colorado,56,2026,regular,2026-02-21T20:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-4.5,162.5,,,-3.5,164.5,2026-02-21T20:30:00.000Z,Colorado,Oklahoma State,56,218,-1.0,keep,none,,-2.0,1,0,1,0,-4.5,-4.5,-3.5,-3.5
Big 12,69.0,Iowa State,125,215017,Big 12,79.0,BYU,18,2026,regular,2026-02-22T03:38:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,2.5,154.5,125.0,-145.0,4.0,156.5,2026-02-22T03:38:00.000Z,BYU,Iowa State,18,125,,keep,none,,0.0,0,0,0,0,2.5,2.5,4.0,4.0
Big 12,69.0,Iowa State,125,215017,Big 12,79.0,BYU,18,2026,regular,2026-02-22T03:38:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,2.5,154.5,,,3.5,155.5,2026-02-22T03:38:00.000Z,BYU,Iowa State,18,125,,keep,none,,0.0,0,0,0,0,2.5,2.5,3.5,3.5
Big 12,68.0,Arizona State,10,215018,Big 12,73.0,Baylor,20,2026,regular,2026-02-21T21:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-8.0,158.0,-340.0,270.0,-6.0,157.5,2026-02-21T21:00:00.000Z,Baylor,Arizona State,20,10,-1.0,keep,none,,-2.0,1,0,1,0,-8.0,-8.0,-6.0,-6.0
Big 12,68.0,Arizona State,10,215018,Big 12,73.0,Baylor,20,2026,regular,2026-02-21T21:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-8.5,157.5,,,-6.5,158.5,2026-02-21T21:00:00.000Z,Baylor,Arizona State,20,10,-1.0,keep,none,,-2.0,1,0,1,0,-8.5,-8.5,-6.5,-6.5
SWAC,63.0,Alabama State,6,215019,SWAC,76.0,Florida A&M,85,2026,regular,2026-02-21T23:45:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,2.0,145.0,100.0,-120.0,1.5,143.5,2026-02-21T23:45:00.000Z,Florida A&M,Alabama State,85,6,,keep,none,,0.0,0,0,0,0,2.0,2.0,1.5,1.5
SWAC,63.0,Alabama State,6,215019,SWAC,76.0,Florida A&M,85,2026,regular,2026-02-21T23:45:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,1.5,144.5,,,1.5,143.5,2026-02-21T23:45:00.000Z,Florida A&M,Alabama State,85,6,,keep,none,,0.0,0,0,0,0,1.5,1.5,1.5,1.5
SWAC,76.0,Alabama A&M,4,215020,SWAC,85.0,Bethune-Cookman,23,2026,regular,2026-02-21T22:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-6.5,143.0,-310.0,255.0,-7.0,143.0,2026-02-21T22:30:00.000Z,Bethune-Cookman,Alabama A&M,23,4,-1.0,keep,none,,-2.0,1,0,1,0,-6.5,-6.5,-7.0,-7.0
SWAC,76.0,Alabama A&M,4,215020,SWAC,85.0,Bethune-Cookman,23,2026,regular,2026-02-21T22:30:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-7.5,142.5,,,-6.5,141.5,2026-02-21T22:30:00.000Z,Bethune-Cookman,Alabama A&M,23,4,-1.0,keep,none,,-2.0,1,0,1,0,-7.5,-7.5,-6.5,-6.5
SWAC,73.0,Grambling,103,215021,SWAC,87.0,Southern,274,2026,regular,2026-02-21T23:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-5.5,143.0,-235.0,195.0,-5.5,142.0,2026-02-21T23:00:00.000Z,Southern,Grambling,274,103,-1.0,keep,none,,-2.0,1,0,1,0,-5.5,-5.5,-5.5,-5.5
SWAC,73.0,Grambling,103,215021,SWAC,87.0,Southern,274,2026,regular,2026-02-21T23:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-5.5,142.5,,,-5.5,141.5,2026-02-21T23:00:00.000Z,Southern,Grambling,274,103,-1.0,keep,none,,-2.0,1,0,1,0,-5.5,-5.5,-5.5,-5.5
Big Ten,71.0,Oregon,223,215022,Big Ten,70.0,USC,323,2026,regular,2026-02-21T21:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-5.0,150.0,-285.0,235.0,-6.5,147.0,2026-02-21T21:00:00.000Z,USC,Oregon,323,223,-1.0,keep,none,,-2.0,1,0,1,0,-5.0,-5.0,-6.5,-6.5
Big Ten,71.0,Oregon,223,215022,Big Ten,70.0,USC,323,2026,regular,2026-02-21T21:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-5.5,149.5,,,-6.5,146.5,2026-02-21T21:00:00.000Z,USC,Oregon,323,223,-1.0,keep,none,,-2.0,1,0,1,0,-5.5,-5.5,-6.5,-6.5
Big Ten,94.0,Illinois,118,215023,Big Ten,95.0,UCLA,313,2026,regular,2026-02-22T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,6.0,147.0,235.0,-285.0,6.0,146.0,2026-02-22T01:00:00.000Z,UCLA,Illinois,313,118,1.0,keep,none,,2.0,1,0,1,0,6.0,6.0,6.0,6.0
Big Ten,94.0,Illinois,118,215023,Big Ten,95.0,UCLA,313,2026,regular,2026-02-22T01:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,5.5,146.5,,,6.5,145.5,2026-02-22T01:00:00.000Z,UCLA,Illinois,313,118,1.0,keep,none,,2.0,1,0,1,0,5.5,5.5,6.5,6.5
Big Ten,64.0,Penn State,226,215024,Big Ten,87.0,Nebraska,188,2026,regular,2026-02-21T19:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-17.5,149.0,-4500.0,1250.0,-19.5,149.0,2026-02-21T19:00:00.000Z,Nebraska,Penn State,188,226,-1.0,keep,none,,-2.0,1,0,1,0,-17.5,-17.5,-19.5,-19.5
Big Ten,64.0,Penn State,226,215024,Big Ten,87.0,Nebraska,188,2026,regular,2026-02-21T19:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-17.5,147.5,,,-20.5,148.5,2026-02-21T19:00:00.000Z,Nebraska,Penn State,188,226,-1.0,keep,none,,-2.0,1,0,1,0,-17.5,-17.5,-20.5,-20.5
Big Ten,61.0,Rutgers,245,215025,Big Ten,80.0,Minnesota,173,2026,regular,2026-02-21T17:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,-8.0,133.5,-400.0,300.0,-9.0,135.0,2026-02-21T17:00:00.000Z,Minnesota,Rutgers,173,245,-1.0,keep,none,,-2.0,1,0,1,0,-8.0,-8.0,-9.0,-9.0
Big Ten,61.0,Rutgers,245,215025,Big Ten,80.0,Minnesota,173,2026,regular,2026-02-21T17:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,-8.5,133.5,,,-8.5,134.5,2026-02-21T17:00:00.000Z,Minnesota,Rutgers,173,245,-1.0,keep,none,,-2.0,1,0,1,0,-8.5,-8.5,-8.5,-8.5
Big Ten,60.0,Washington,343,215026,Big Ten,64.0,Maryland,160,2026,regular,2026-02-21T20:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Bovada,3.0,143.5,145.0,-170.0,4.5,146.0,2026-02-21T20:00:00.000Z,Maryland,Washington,160,343,1.0,keep,none,,2.0,1,0,1,0,3.0,3.0,4.5,4.5
Big Ten,60.0,Washington,343,215026,Big Ten,64.0,Maryland,160,2026,regular,2026-02-21T20:00:00.000Z,bronze/lines/season=2026/asof=2026-03-11/part-0ba225cd.parquet,2026-03-11,Draft Kings,3.5,142.5,,,4.5,145.5,2026-02-21T20:00:00.000Z,Maryland,Washington,160,343,1.0,keep,none,,2.0,1,0,1,0,3.5,3.5,4.5,4.5
