season,option,base_score,method,train_seasons,intercept,coef,x_thresholds,y_thresholds
2024,constant14_normal,z_const14,normal,"[2019, 2020, 2022, 2023]",,,,
2024,logistic_raw_z,z_raw,logistic,"[2019, 2020, 2022, 2023]",0.0010974690025586896,0.40090781650875684,,
2024,isotonic_raw_z,z_raw,isotonic,"[2019, 2020, 2022, 2023]",,,"[-3.89730443232341, -1.7739719182246108, -1.7406228872508678, -1.5903286118802744, -1.557843919534321, -1.4306845045914323, -1.4239807374503108, -0.9466026180419557, -0.933595062632043, -0.8348815420273553, -0.8337940214288644, -0.8246438636641276, -0.823935832974772, -0.7343950109968062, -0.7340878927699306, -0.45277761104555075, -0.45271226326639025, -0.4202328529387582, -0.42010913478325784, -0.38589410006836594, -0.38572664951377034, -0.2656193482883019, -0.2655345652649821, -0.10933380493891745, -0.10926986495448372, -0.08957691192626953, -0.08955024106470186, 0.2835272463708957, 0.2835911675504015, 0.41171967848071367, 0.4117249541625788, 0.5801365618895982, 0.5802112267840718, 0.7948009530181493, 0.795294668055687, 0.8350453842939222, 0.8351102005507098, 1.3872477946958905, 1.39366780392162, 1.58065736166604, 1.5845572153727214, 2.3642685607596166, 2.4848146536933164, 4.888168823828976]","[1e-06, 1e-06, 0.16666666666666666, 0.16666666666666666, 0.2, 0.2, 0.21568627450980393, 0.21568627450980393, 0.2857142857142857, 0.2857142857142857, 0.3333333333333333, 0.3333333333333333, 0.4117647058823529, 0.4117647058823529, 0.4415841584158416, 0.4415841584158416, 0.4527027027027027, 0.4527027027027027, 0.4772727272727273, 0.4772727272727273, 0.47758620689655173, 0.47758620689655173, 0.4809368191721133, 0.4809368191721133, 0.49341142020497786, 0.49341142020497786, 0.5070762302991315, 0.5070762302991315, 0.5219364599092288, 0.5219364599092288, 0.5592105263157896, 0.5592105263157896, 0.5794392523364486, 0.5794392523364486, 0.6, 0.6, 0.6303317535545023, 0.6303317535545023, 0.6896551724137931, 0.6896551724137931, 0.8076923076923077, 0.8076923076923077, 0.999999, 0.999999]"
2024,logistic_best_posthoc_z,z_best,logistic,"[2019, 2020, 2022, 2023]",0.00029282123269691596,0.45618774300874154,,
2024,isotonic_best_posthoc_z,z_best,isotonic,"[2019, 2020, 2022, 2023]",,,"[-3.8464929719186327, -1.8224555437048078, -1.7788370052714901, -1.3257217335184517, -1.3231300805628678, -1.048610627948727, -1.0372461775004513, -0.8647096981188991, -0.8472687904658915, -0.8317169210852797, -0.8242727344722488, -0.7489958818736847, -0.742369016011556, -0.7248871218638548, -0.724531112411927, -0.48710634169123945, -0.48604127300050676, -0.3825480727826189, -0.3825455687175173, -0.3039470376209366, -0.3039233642511571, -0.14010008754383033, -0.1400882278207448, -0.13418650166674667, -0.13417426743563002, -0.07405323118933055, -0.0740465260161395, -0.06334114983312962, -0.06333262697457015, 0.17509264250333528, 0.1751598287893152, 0.3167546262281522, 0.31731358608189053, 0.34512207235647885, 0.3452337380974975, 0.49071236850653965, 0.49105339510738716, 0.5932267561779149, 0.5933923658878689, 0.732382537730374, 0.7330285816444427, 0.7364366746914741, 0.7374121216056514, 0.872522227814041, 0.872920331534834, 1.2904253803982042, 1.2926779630101837, 1.6882174173549394, 1.6952787472532, 2.3003333494293687, 2.354394701491018, 4.178615626045998]","[1e-06, 1e-06, 0.1, 0.1, 0.13043478260869565, 0.13043478260869565, 0.3125, 0.3125, 0.3333333333333333, 0.3333333333333333, 0.36666666666666664, 0.36666666666666664, 0.375, 0.375, 0.43181818181818177, 0.43181818181818177, 0.43767313019390575, 0.43767313019390575, 0.47128378378378366, 0.47128378378378366, 0.4817146282973621, 0.4817146282973621, 0.4852941176470588, 0.4852941176470588, 0.5002233139794552, 0.5002233139794552, 0.5025252525252527, 0.5025252525252527, 0.5054211843202664, 0.5054211843202664, 0.5114964191481339, 0.5114964191481339, 0.5236593059936908, 0.5236593059936908, 0.5474040632054177, 0.5474040632054177, 0.55, 0.55, 0.563953488372093, 0.563953488372093, 0.625, 0.625, 0.6285714285714286, 0.6285714285714286, 0.6439393939393938, 0.6439393939393938, 0.7555555555555555, 0.7555555555555555, 0.9285714285714286, 0.9285714285714286, 0.999999, 0.999999]"
2025,raw_mlp_normal,z_raw,normal,"[2019, 2020, 2022, 2023, 2024]",,,,
2025,best_posthoc_normal,z_best,normal,"[2019, 2020, 2022, 2023, 2024]",,,,
2025,constant14_normal,z_const14,normal,"[2019, 2020, 2022, 2023, 2024]",,,,
2025,logistic_raw_z,z_raw,logistic,"[2019, 2020, 2022, 2023, 2024]",0.001860379714581157,0.32723620075342214,,
2025,isotonic_raw_z,z_raw,isotonic,"[2019, 2020, 2022, 2023, 2024]",,,"[-3.89730443232341, -1.7739719182246108, -1.7406228872508678, -1.4306845045914323, -1.4239807374503108, -0.9466026180419557, -0.933595062632043, -0.8348815420273553, -0.8337940214288644, -0.8288512755621003, -0.828436574093478, -0.7306052831623925, -0.7304793043082969, -0.4715506988997861, -0.47125115723624816, -0.45277761104555075, -0.45271226326639025, -0.44227089363304195, -0.44226016635878534, -0.2656193482883019, -0.2655345652649821, -0.16250652122296802, -0.16243738130701874, -0.10933380493891745, -0.10926986495448372, -0.08957691192626953, -0.08955024106470186, 0.2839900426070874, 0.2841295699824802, 0.31095551316813647, 0.3109741390430523, 0.40429750013885596, 0.4044149554559454, 0.41119618096550853, 0.4112169532209727, 0.6991991583157166, 0.6993354350401906, 0.8350453842939222, 0.8351102005507098, 0.9459916873083608, 0.9473389349958274, 1.0308439208770033, 1.0340048547444831, 1.3872477946958905, 1.39366780392162, 1.58065736166604, 1.5845572153727214, 2.3642685607596166, 2.4848146536933164, 4.888168823828976]","[1e-06, 1e-06, 0.25, 0.25, 0.265625, 0.265625, 0.2903225806451613, 0.2903225806451613, 0.3333333333333333, 0.3333333333333333, 0.391304347826087, 0.391304347826087, 0.43127147766323026, 0.43127147766323026, 0.43820224719101125, 0.43820224719101125, 0.4714285714285714, 0.4714285714285714, 0.47983665135273096, 0.47983665135273096, 0.48160919540229885, 0.48160919540229885, 0.4832317073170731, 0.4832317073170731, 0.49396135265700475, 0.49396135265700475, 0.5091089764822784, 0.5091089764822784, 0.5185185185185185, 0.5185185185185185, 0.5224006762468302, 0.5224006762468302, 0.5344827586206897, 0.5344827586206897, 0.5423600605143721, 0.5423600605143721, 0.5588235294117647, 0.5588235294117647, 0.5673076923076923, 0.5673076923076923, 0.5714285714285714, 0.5714285714285714, 0.5725806451612904, 0.5725806451612904, 0.6857142857142857, 0.6857142857142857, 0.8125, 0.8125, 0.999999, 0.999999]"
2025,logistic_best_posthoc_z,z_best,logistic,"[2019, 2020, 2022, 2023, 2024]",0.001170815774022567,0.38127914933025564,,
2025,isotonic_best_posthoc_z,z_best,isotonic,"[2019, 2020, 2022, 2023, 2024]",,,"[-3.8464929719186327, -1.8224555437048078, -1.7788370052714901, -1.3842200881899882, -1.3788484998298223, -1.0590000583472392, -1.0570726283089684, -1.0436345653570651, -1.0372461775004513, -0.7902079647759908, -0.7890234195419694, -0.7489958818736847, -0.742369016011556, -0.48710634169123945, -0.48645505050445814, -0.38235419290585065, -0.3820401706929397, -0.13418650166674667, -0.13417426743563002, -0.13394886186875793, -0.1339021296628772, -0.06334114983312962, -0.06333262697457015, 0.17551378128252068, 0.17553080820328748, 0.3038858054572005, 0.303923765818278, 0.31757389184307316, 0.31759466368824607, 0.3447630176177387, 0.3448110172097504, 0.7542112950088087, 0.7545714905611841, 0.8509767398058119, 0.8520003436708494, 0.872522227814041, 0.872920331534834, 1.1220337006060863, 1.122908392526688, 1.188575293580704, 1.1914061429999188, 1.2904253803982042, 1.2919194371595464, 1.416632538624438, 1.4384096244235804, 1.526143302554579, 1.53316941203012, 1.6882174173549394, 1.6952787472532, 2.786384602899044, 2.824844890170627, 4.178615626045998]","[1e-06, 1e-06, 0.11764705882352941, 0.11764705882352941, 0.21428571428571427, 0.21428571428571427, 0.25, 0.25, 0.3442622950819672, 0.3442622950819672, 0.38095238095238093, 0.38095238095238093, 0.4212121212121212, 0.4212121212121212, 0.4393939393939394, 0.4393939393939394, 0.48010814986481276, 0.48010814986481276, 0.5, 0.5, 0.5012315270935958, 0.5012315270935958, 0.5080563093622797, 0.5080563093622797, 0.5094577553593945, 0.5094577553593945, 0.5107526881720431, 0.5107526881720431, 0.5309278350515465, 0.5309278350515465, 0.5381035485747532, 0.5381035485747532, 0.5686274509803921, 0.5686274509803921, 0.5714285714285714, 0.5714285714285714, 0.6, 0.6, 0.6470588235294118, 0.6470588235294118, 0.6538461538461539, 0.6538461538461539, 0.75, 0.75, 0.7777777777777778, 0.7777777777777778, 0.7857142857142857, 0.7857142857142857, 0.9130434782608695, 0.9130434782608695, 0.999999, 0.999999]"
